Autores,Asesores,Título,Resumen,Año,Institución,Grado
"['Fuentes Berrocal, Walter Denis', 'Novaro Soto, Eder Alfonso']","['Cuervo Guzmán, Sergio']",Factores que limitan el uso de la telemedicina en atenciones primarias del público millennials,"Actualmente, la pandemia dejó expuesto al sistema sanitario peruano que tiene déficit en médicos e infraestructura. Producto del aislamiento, se implementó el uso de telemedicina para cubrir enfermedades no Covid. Sin embargo, en Lima Metropolitana hay un 33% de rechazo al uso de telemedicina por personas que recibieron el servicio y la reducción de medidas de confinamiento impactaron considerablemente. La presente investigación explora los factores que limitan el uso de la telemedicina en atenciones primarias del público millennial en los sectores ABC de Lima moderna. Los resultados obtenidos muestran que la calidad es un factor determinante para que el millennial retorne después a atenderse por telemedicina, donde la plataforma y la confianza en el servicio son primordiales. Además, se encontró que la personalización del servicio para cubrir las necesidades del paciente sumado a la tecnología juega un rol fundamental. Finalmente, la inmediatez, el millennial tiene que sentir que el servicio le genera un ahorro de tiempo sin perjudicar la calidad. En la investigación se encontró dos tipos de consumidores millennial determinados por la edad, estado civil y preferencias de servicio, estos hallazgos ayudan a comprender la percepción actual del millennial respecto al uso de telemedicina en Lima Moderna.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Calderón Ñaccha, Gianpierre Luis', 'Santillán Paredes, Jefferson Felipe', 'Masias Donayre, Yarul Melchor']","['Cuervo Guzmán, Sergio']",Plan de negocios para implementar un sistema de detección y alertas proactiva de inseguridad ciudadana con inteligencia artificial,"Dentro del país, el ciudadano de a pie percibe la inseguridad ciudadana como un problema latente y en constante crecimiento, la capacidad de la policía y autoridades competentes no se dan abasto para control y seguimiento de los diferentes delitos en la ciudad. Además, el temor de los ciudadanos para denunciar y que se tomen represarías en su contra es algo que reduce las denuncias en la comisaria, también el ciudadano cree que su solicitud no es atendida o desestimada, sin ser evaluada ya que no recibe una retroalimentación. Como consecuencia se presenta el plan de negocio para aprovechar la tecnología para brindar una herramienta que empodere al ciudadano y puedan participar de manera segura y pseudoanonima en mejorar la seguridad ciudadana, nuestra propuesta esta enfocada en proteger los condominios a los cuales se les implementa capacidad analítica para que los dispositivos de video vigilancia puedan gestionar la seguridad interna y perímetro del condominio de forma autónoma e inteligente, se pueda captar datos e integrar análisis para generar modelos que permitan prevenir futuros incidentes de inseguridad ciudadana y por medio de ella generar reportes e informes que ayuden a las autoridades a identificar a los delincuentes y recopilar evidencia importante.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Aliaga Pahuacho, Juan Carlos', 'Donayre Medina, Martin Elmer', 'Espinoza Coral, Juan Oswaldo', 'Zegarra Bazan, Alfredo Reynaldo']","['Robles Flores, Jose Antonio']",Propuesta de un plan de negocio para el análisis de sentimientos en audios de grabaciones telefónicas del proceso de venta y atención al cliente de empresas comerciales,"Existe mucha información que debería ser analizada, como la contenida en los audios de las llamadas telefónicas que realizan diariamente las empresas comerciales en sus centros de atención al cliente o contact center. Se propone analizarla en su totalidad, con el fin de validar que se cumplan los protocolos comerciales, se brinde una adecuada atención al cliente y se logre la satisfacción en ellos. En tal sentido, se plantea un plan de negocio a través de una plataforma digital denomina EMOTIONS, esta solución emplea herramientas de inteligencia artificial y análisis de sentimientos, para identificar los niveles de agrado o desagrado de los clientes. El modelo EMOTIONS busca comprender los sentimientos de sus clientes cuando se refieren a sus productos y servicios, buscando maneras para entenderlos, fidelizarlos, apoyarlos y ver reflejado en el incremento de sus ingresos. Luego de haber realizado el estudio de mercado a través de entrevistas a expertos y encuestas, se ha encontrado que existen muchas empresas interesadas. En términos financieros, se obtuvieron resultados satisfactorios, basados en el análisis de viabilidad económica y se consolida la idea de negocio rentable.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Contreras Olortegui, Oscar Ivan', 'Miranda Alva, Luis Eduardo', 'Leyva Ponciano, Nadia Lisset', 'Tamayo Diaz, Giuliana Miluzka']","['Santana Ormeño, Martín']",Propuesta de un plan de negocio para la implementación de un bar tecnológico en Lima – Perú,"La propuesta de negocio @Bar busca dar una nueva alternativa para compartir con amigos y familiares la experiencia de estar en un bar llevándola a un entorno virtual que al mismo tiempo también sea colaborativo e interactivo. @Bar buscará diferenciarse de otros negocios a través de su variedad de cervezas artesanales de distintos fabricantes, de un servicio de delivery express que dará tiempos reducidos de entrega (máximo 20 minutos), pero manteniendo la calidad debida de los productos y de su plataforma en línea disponible vía web y móvil que permitirá a los usuarios sentir que están en un bar, pero desde su casa o desde un lugar con acceso a internet. La plataforma emulará las zonas de un bar como son la barra las mesas y los boxes los cuales son mesas privadas. En cada una de estas zonas el nivel de interacción es distinto entre las personas ya al igual que en un bar la zona determina cómo el participante desea pasar su tiempo en el bar. Asimismo, la plataforma permitirá programar reuniones con la garantía de que se tendrá un espacio virtual reservado y garantizado para llevar a cabo dicha reunión.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Antayhua Poma, Elicid Aminabad', 'Atoche Castromonte, Luis Alberto', 'Cañari Limaymanta, Iván Angel', 'Gamboa Castro, Boris Víctor']","['Santana Ormeño, Martín']",Factores críticos para la adopción de Smart Waste Management en una ciudad en vías de desarrollo en América Latina,"Para el 2050, dos tercios de la población mundial estará urbanizada y la tasa de crecimiento poblacional de una ciudad será de 3 a 5% anual, originando que los residuos se dupliquen en una década y la gestión de residuos sea un reto cada vez mayor. Ante ese contexto, se propone un modelo de factores críticos de adopción de Smart Waste Management en una ciudad en vías de desarrollo de América Latina que permite identificar aquellos factores que impactan positivamente en la adopción de una solución de Smart Waste Management. De la investigación se propuso un modelo basado en dimensiones que fueron validadas mediante una valoración de expertos confirmando así los factores críticos. El contenido de la tesis permite aterrizar el objetivo principal. El primer capítulo expone el problema que impulsa la investigación. El segundo capítulo presenta definiciones para la comprensión y toda la investigación literaria relacionada. El tercer capítulo detalla el modelo propuesto. El cuarto capítulo muestra la estrategia metodológica para demostrar el modelo. El quinto capítulo muestra los resultados y la discusión de hipótesis. Finalmente, se formulan conclusiones, recomendaciones y líneas futuras que permitirán a los interesados contar con pautas y lineamientos para la adopción de estas soluciones.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Aprile Rodríguez, Giancarlo Miguel', 'Candela Cáceres, Amanda', 'Herrera Quiñones, Oscar Ruyer', 'Ortecho Ramos, Luis Felipe']","['Cuervo Guzmán, Sergio']",Plan de negocio para la creación de una empresa de servicios de data science dirigida a empresas pequeñas y medianas del rubro de restaurantes,"La pandemia por la COVID-19 ha acelerado la adopción de tecnologías emergentes y el proceso de digitalización de los restaurantes. A través de nuestra propuesta de negocio buscamos el uso intensivo de la información que permita a los propietarios e inversionistas identificar insight (ideas, conocimiento) para generar beneficios a través de los datos para la reinversión empresarial, para alcanzar las ventas y cantidad de clientes que tenían antes de la pandemia y posteriormente retomar la senda del crecimiento. Identificamos la oportunidad de aplicar data science al rubro restaurantes considerando que es fundamental para la estrategia comercial, para mejorar la cadena de abastecimiento, el desempeño del personal y la creación de experiencias más personalizadas hacia sus clientes.  En el estudio de mercado nuestra propuesta de negocio se determinó que el 95% de los encuestados estaría dispuesto a contratar un servicio de data science, por lo que se valida que la aceptación del modelo de negocio es muy alta. En la época pre-pandemia los restaurantes estaban enfocados en la experiencia del cliente, como el factor diferenciador para ganar mayor cuota de mercado, en esta época de pandemia y post pandemia, los negocios de restaurantes se enfocan en la eficiencia operativa, en recuperarse en el menor tiempo posible.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Jerónimo Balcazar, Débora Elsa', 'Larico Mullisaca, Celso Ever', 'Gaspar Gonza, Marcos Luciano', 'Yanac Ortiz, Pedro Antonio']","['Santana Ormeño, Martín']",Plan de negocio para el desarrollo de una plataforma virtual colaborativa de auxilio mecánico vehicular,"La presente tesis, tiene como principal objetivo proponer, diseñar y evaluar un plan de negocios para la creación de una plataforma digital colaborativa denominada AuxiFlash en la ciudad de Lima, en las zonas denominadas Norte, Centro y Moderna. A través de una aplicación móvil, se plantea enlazar a conductores que necesiten asistencia mecánica con una red de conductores que cumplan el rol de auxiliador mecánico, usando las herramientas necesarias para poder solucionar un problema sencillo o complejo que pudiera surgir en ruta. AuxiFlash ofrecerá a los conductores, una propuesta de valor para solucionar un inconveniente mecánico en carretera de manera fácil, rápida y segura, asignándole al auxiliador mecánico idóneo. A su vez ofrecerá a los auxiliadores mecánicos contacto directo con clientes que requieran ayuda en sus vehículos de forma rápida y segura, y puedan obtener ingresos extra.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Condori Cabana, David Godofredo', 'Monzón Estrella, Antony Abel', 'Peña Barrientos, Paul']","['Cuervo Guzmán, Sergio']",Plan de negocio para una plataforma tecnológica de intermediación de compras en los mercados de abastos de Lima Metropolitana,"La plataforma tecnológica llamada Mi Mercado, es una aplicación de intermediación que permite realizar las compras de productos de primera necesidad en los mercados de abastos sin la necesidad de salir de sus hogares, comparando reseñas de experiencia de compra de otros usuarios y evaluar distintas propuestas de venta de los proveedores, para garantizar el precio justo, el tiempo de entrega y la calidad esperada. De tal manera que los consumidores puedan provisionarse de sus productos sin exponerse a contagios innecesarios, ni a la inseguridad ciudadana, a través de una plataforma tecnológica de fácil uso, rápida, segura y eficiente, que les permita aprovechar el tiempo ganado en destinarlo a la familia o en otras actividades de interés. Parte de la propuesta incluye lograr que los proveedores de productos puedan tener un canal adicional de ventas, que les permita mejorar el posicionamiento de su negocio, controlar su flujo de dinero y proyectar su inventario. Según los expertos entrevistados en nuestro análisis cualitativo, no se encontraron competidores directos que abarquen a nuestros dos clientes y cuenten con la misma propuesta personalizada que ofrecemos, por lo que mantenemos una ventaja consistente frente a los nuevos competidores que se encuentran surgiendo.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Castillo Ordinola, Dennis Eduardo', 'Estrada Vargas, Hohammed Máximo', 'Tinoco Reyes, David Alejandro']","['Cuervo Guzmán, Sergio']",Plan de negocio para la implementación de una plataforma digital “Tranki” que permita mitigar el estrés para millennials en la Región Lima Metropolitana,"El estrés es considerado como un conjuntode reacciones fisiológicas, en el cual las personas pasan por un  estado físico, mental o también emocional que es causada por presiones  en  diversas  circunstancias  de  la  vida  cotidiana.  En  el  Perú,la  población llamada millennials se sienten ansiosos o estresados por la emergencia sanitaria actual, cuya  cantidad  se  contabiliza  en  aproximadamente  8  millones  de  personas,  las  cuales comparten ciertas características y se considera una generación que no concibe su vida sin el uso de los dispositivos móviles y plataformas digitales. Por esta razón, el presente plan de negocios propone la Plataforma Digital Tranki, la  cual  tiene  el  objetivo  de  proveer  un  servicio  alternativo  que  ofrezca  soluciones oportunas y efectivas a los jóvenes millennials con ansiedad y altos niveles de agitación, con  la  finalidad  de  proporcionarle  formas  didácticas  para  atenuar  los  síntomas  del estrés;por medio de consejos, recomendaciones y planes saludables personalizados y adaptados a la situación actual. Además, se proyecta atender a las personas de la Región Lima Metropolitana, generandouningresoadicional al personal especializado en salud mental que tuviera la oportunidad de brindar sus servicios. Esta idea se posiciona como una alternativa innovadora, que genera un impacto positivo sobre la salud pública.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Bardales Abad, Jorge Armando', 'Elías Huaranga, Vanessa', 'Manrique Tunque, Nérida Isabel', 'Motta Llufire, Víctor Alejandro']","['Santana Ormeño, Martín']",Factores críticos de éxito para el uso de micropagos en el sector no bancarizado,"En la actualidad, los micropagos comprenden un alto porcentaje de las transacciones realizadas de forma diaria, permitiendo el desarrollo del comercio en sus diferentes variantes a nivel mundial. Sin embargo, en el Perú y en América Latina, existe un porcentaje alto de la población que no utiliza medios electrónicos o digitales para satisfacer sus necesidades de compra y consumo, realizando transacciones tradicionales a través de pagos en efectivo y evitando generar información que permita a las instituciones financieras definir servicios y productos a medida de las necesidades de la población, ampliando los niveles de no bancarización en el país. La literatura expone factores que permiten reducir esta brecha, facilitando el uso de micropagos en el sector no bancarizado como la regulación de los servicios financieros, la infraestructura tecnológica, las características de lo micropagos entre otros. En total seis factores que este estudio identificó y clasificó como factores críticos de éxito, en base al juicio experto de profesionales participantes en diferentes sectores relacionados. Los hallazgos permiten conocer el escenario actual de los micropagos en el contexto peruano, los factores a considerar para su impulso y un ecosistema de inclusión financiera de aplicación en beneficio del sector no bancarizado del Perú.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['León Plasencia, César Iván']","['Moarri Nohra, Richard']",Modelo de solución de Business Intelligence y Machine Learning para el monitoreo y control de calidad de la medición del consumo de agua en el Centro de Servicios Breña,"La presente tesis de investigación tiene como objetivo realizar un estudio de los principales factores asociados a la conexión domiciliaria de agua potable y determinar su incidencia en la medición del consumo de los clientes que hacen uso del servicio. Teniendo en cuenta esta información, se proponen modelos de solución tecnológica basada en Business Intelligence y Machine Learning que permiten monitorear y controlar la calidad de medición del consumo de agua en el Centro de Servicios Breña de la empresa SEDAPAL.",2020,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Gastulo Salazar, Luis Miguel']","['Cuervo Guzmán, Sergio']",Factores que  influyen en la adopción de Cloud Computing en las Cooperativas de Ahorro y Crédito (COOPAC) en Lima,"Para poder identificar los factores que afectan la adopción del Cloud Computing en las organizaciones COOPAC en Lima, se realizaron estudios cualitativos y cuantitativos. Como parte de la obtención de los resultado por medio de los análisis cualitativo de la investigación se pudo conocer los factores que afectan la adopción del Cloud Computing en las organizaciones COOPAC en Lima, evidenciando que los factores: Ventaja relativa o competitividad, Seguridad y Confianza, Disponibilidad tecnológica, Gestión de la información, Adaptación, Complejidad, Crecimiento de empresa, Apoyo de la Alta Gerencia, Mejora en el tiempo y Reducción de costos; figuran como los 10 principales factores que afectan la adopción del Cloud Computing según los expertos entrevistados. Con respecto al análisis cuantitativo se recopiló la información a través de un instrumento que consta de 76 preguntas, este se confeccionó por medio de la recopilación de información del marco conceptual así como de juicio de expertos, la cual tiene como finalidad identificar los factores que influyen en la adopción del Cloud Computing dentro de las Cooperativas de ahorro y crédito en Lima. Conforme lo anterior y bajo el análisis realizado, se obtuvo los 7 factores que finalmente son: Regulaciones e interacción, Cultura Organizacional y Capacitación, Crecimiento de la empresa, Gestión de la información, Uso de nuevas tecnologías y seguridad, Proveedores de servicios y Partes interesadas.",2020,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Florián Asca, Jhonny Tulio', 'Merino Rivera, José Luis', 'Rojas Osorio, Luis Orlando', 'Saavedra Quispe, Kenneth Rodrigo']","['Moarri Nohra, Richard']",Plataforma virtual de intercambio colaborativo de productos en Perú : “Truequeando”,"Proyecto que busca analizar la viabilidad económica de una plataforma virtual de intercambio colaborativo de productos de segunda mano llamada “Truequeando”, para ello nos apoyaremos en el actual apogeo de la economía colaborativa y las
facilidades brindadas como consecuencia de los avances tecnológicos y las redes sociales para su difusión y captación de clientes. Para su desarrollo realizamos un estudio del mercado que nos permitió determinar nuestro público objetivo de Millennials que radican en Lima Metropolitana pertenecientes al sector socioeconómico B y C. Esto, debido a que sus patrones comportamentales, intereses y uso de medios digitales se encuentran alineados a nuestra propuesta de valor. Truequeando funciona como un canal o intermediario que facilita la búsqueda y comunicación entre personas que desean intercambiar productos que ya no utilizan por algo que necesitan. Lo cual permitirá no solo apoyar con la reducción del consumismo, sino también evitar posibles problemas de salud a causa de bacterias y hongos por el almacenamiento de productos, y la necesidad de contar con un espacio determinado para su almacenamiento. Finalmente, luego de realizar las evaluaciones respecto a los indicadores financieros y económicos, se concluye que el modelo de negocio propuesto es viable y rentable para su implementación.",2020,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
