Autores,Asesores,Título,Resumen,Año,Institución,Grado
"['Cajo Hernandez, Jeanpierre Adolfo', 'Rosales Caururu, Abel Nehemias']","['Subauste Oliden, Daniel Alejandro']",['Sistema de control y gestión para los cultivos agrícolas aplicando tecnologías emergentes en el Perú'],"Esta tesis plantea la implementación de una propuesta de proyecto para el desarrollo de un sistema de control y manejo de cultivos agrícolas aplicando tecnologías emergentes en el Perú para la detección de enfermedades, malezas y plagas que afectan a los cultivos. 

Los procesos de estudio son el registro de datos y el procesamiento de la información para la toma de decisiones. En el primer proceso, el seguimiento de los cultivos se realiza de forma manual y con visitas presenciales que requieren horas-hombre a un costo elevado, lo que hace que las áreas de cultivo no estén totalmente cubiertas. En el segundo proceso, la información se procesa mecánicamente con hojas de cálculo con un alto margen de error por el factor humano o por la complejidad de los datos considerados para los cálculos estadísticos de seguimiento de cultivos. 

Bajo esta premisa, la solución propuesta en este proyecto se basa en el diseño de un sistema que permita el seguimiento de los cultivos y cubra toda la superficie cultivada. A partir del despliegue de sensores y UAVs en el área prevista para el monitoreo, se registran datos y se capturan imágenes multiespectrales de las condiciones y características del suelo, el agua, el clima y los cultivos, que se centralizan en una estación total. Posteriormente, se ejecutan procesos con algoritmos de aprendizaje automático para analizar la información y se muestran en informes dinámicos geolocalizados y con gráficos que contienen datos estadísticos del área cubierta. Todo esto ayudará a tomar decisiones en el momento y lugar adecuado con información basada en datos, optimizando así los recursos e insumos agrícolas. Finalmente, el ahorro de costes y el aumento de la producción se verán reflejados al final de cada campaña agrícola.",2022-08-24T22:38:40Z,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Benvenuto Calderón, Luis Alexis', 'Sanchez Padilla, Alfonso Genaro']","['Subauste Oliden, Daniel Alejandro']","['Propuesta de un sistema web con componentes de machine learning para optimizar el registro, evaluación y control de las organizaciones sindicales']","El presente proyecto de tesis comprende el desarrollo de una propuesta de solución web que le permita a las organizaciones sindicales realizar su inscripción, para que luego el Ministerio de Trabajo y Promoción del Empleo (MTPE) la evalúe para dar respuesta del resultado al sindicato. Asimismo, dichas organizaciones sindicales visualizarán el estado de su trámite de inscripción, realizarán consultas sobre sus observaciones y los plazos para subsanarlas. Finalmente, el ministerio al contar con la información centralizada de los sindicatos, podrá hacerles seguimiento y control a través de indicadores en forma de gráficos estadísticos para posterior toma de decisiones.  

 

El objetivo principal es el de proponer una solución web con componentes de machine learning que permita automatizar el proceso de registro, evaluación y control de organizaciones sindicales. Estos componentes van a realizar sugerencias al personal del MTPE en base a la información de las organizaciones sindicales proveniente de servicios web externos.",2022-07-01,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Sueldo Alarcón, Brayan Hugo', 'Peña Cueva, Edwin Daniel']","['Subauste Oliden, Daniel Alejandro']",['Servicio web para la predicción de los delitos de robo utilizando machine learning en la ciudad de Lima Metropolitana'],"El presente trabajo de tesis tiene como objetivo implementar una propuesta para el desarrollo de una solución tecnológica que permita la predicción de delitos de robo en la ciudad de Lima utilizando la inteligencia artificial. En la solución propuesta se ha planteado la exposición de servicios web API, los cuales podrán ser consumidos con tokens de seguridad por plataformas web o aplicaciones de celulares, a través de estos servicios web los usuarios podrán registrar los delitos y consultar las zonas predichas de robo por medio de coordenadas. Asimismo, dentro de la propuesta se plantea el uso de un modelo de inteligencia artificial basado en machine learning para la predicción de delitos, la solución propuesta y el modelo predictivo están desplegados en la nube de Azure.

El aporte del proyecto resalta por su innovación al usar un algoritmo predictivo de inteligencia artificial, diseñar una arquitectura orientada a microservicios y contar con una infraestructura en la nube de Azure, de esta forma se busca garantizar un óptimo performance en la solución y contar con una infraestructura escalable que soporte una alta concurrencia de usuarios. Por otro lado, el software propuesto busca brindar información a los ciudadanos para que tomen prevención en base al conocimiento de futuros delitos, también se trata de ayudar la Policía Nacional del Perú para que tomen una postura más proactiva al conocer ubicaciones geográficas en donde ocurrirán delitos a futuro.

Se han analizado diferentes plataformas cloud que permitan diseñar el modelo predictivo de delitos de robo, en donde como criterio de selección se tuvo si la plataforma brindaba servicios de machine learning, los costos del servicio, una prueba gratuita para pruebas de concepto, facilidad de usar, y también validar si brinda repositorio de experimentos de inteligencia artificial de ejemplo. Además, se ha realizado un análisis y recopilación de información a través de una encuesta para conocer la opinión del público con respecto a buenas prácticas que se deben considerar para tener un proceso adecuado de registro y atención de denuncias, en base a ello se obtiene un bajo el nivel de madurez del proceso actual en donde se evidencia que hay puntos por mejorar tales como la información que se brinda a los ciudadanos sobre delitos, el registro de delitos, la arquitectura de aplicación e infraestructura, etc. Estos puntos sí son considerados y mejorados con la solución propuesta.",2022-04-09,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Flores Hernandez, Efrain Samuel', 'La Torre López, Daniel']","['Subauste Oliden, Daniel Alejandro']",['Solución tecnológica que permita mejorar la experiencia y accesibilidad del cliente en el sistema financiero basada en el OpenBanking'],"El presente proyecto tiene como objetivo proponer una solución tecnológica que permita mejorar la experiencia y accesibilidad del cliente al momento de realizar la solicitud de un préstamo en una entidad financiera. 

A través de un Portal Web y/o Aplicación Móvil el cliente solicitará un préstamo donde podrá visualizar, comparar alternativas de créditos en línea que las entidades financieras nos otorguen y elegir la oferta que mejor le convenga.  

Estas integraciones que se tendrá con las entidades financieras se lograrán cumpliendo normativas y regulaciones internacionales como el PSD2 y estándares como el Open Banking las cuales promueven la innovación, competencia y favorece la adaptación de los servicios bancarios a las nuevas tecnologías. 

Dependiendo del monto que solicite el cliente, la Fintech podrá financiar el préstamo solicitado. En caso de que el monto supere lo permitido por la Fintech, la solicitud de préstamo se deriva a las diferentes entidades financieras suscritas en el Portal Web.  Generando mecanismos de competencia, mejorando la oferta hacia el cliente y promoviendo la inclusión financiera tanto a personas bancarizadas, como no bancarizadas.  

El otorgamiento de crédito a un cliente debe pasar por un proceso de pre-evaluación, dicho proceso emplea un modelo predictivo de riesgos basados en datos no paramétricos, que permita evaluar el nivel de riesgo, su promesa de pago y el compromiso del cliente para con el préstamo.",2022-07-02,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Pillihuaman Reyes, César Josué', 'Picardo Guerrero, Gwendoline Magaly']","['Subauste Oliden, Daniel Alejandro']",['Solución tecnológica para identificar mascotas perdidas utilizando Deep Learning en el distrito de Chorrillos'],"La presente investigación tiene como objetivo elaborar una propuesta de solución tecnológica que identifique perros perdidos a través de imágenes capturadas por dispositivos móviles utilizando deep learning. Esto surge debido a la carencia de herramientas tecnológicas que faciliten la búsqueda de perros perdidos en la comunidad de Chorrillos. 

 

En la actualidad se cuenta con herramientas capaces de clasificar objetos, tales como GoogLeNet, la cual es una red neuronal convolucional capaz de detectar más de mil categorías de objetos. También están disponibles algunos algoritmos para clasificación de razas de perros y de identificación de perros, los cuales llegan a alcanzar un índice de hasta 83% de precisión.  

Este proyecto presenta una propuesta de solución tecnológica que incluye una aplicación móvil que sirva como herramienta para identificar perros perdidos soportado por un sistema desplegado en Azure por medio de APIs que usarán componentes de deep learning para procesamiento de imágenes y de identificación de perros.",2022-06-29,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Herrera Huamán, David', 'Valencia Reyes, Orlando José']","['Subauste Oliden, Daniel Alejandro']",['Diseño de la gestión del conocimiento aplicando los modelos de Kerschbeg y Riesco para mejorar el rendimiento de la dirección de proyectos en una empresa consultora de TI'],"El presente trabajo de tesis tiene como objetivo proponer el diseño de una solución para la gestión del conocimiento aplicada en una empresa Consultora de TI, utilizando herramientas en línea y el diseño de un proceso de negocio con la finalidad de mejorar el rendimiento de los proyectos de TI. La PMO de la Consultora fue la encargada de dar a conocer este problema que ha traído como consecuencia retrasos en la salida de los diferentes proyectos planificados. 

Para lograr este objetivo se ha investigado diferentes modelos de gestión del conocimiento las cuáles, de acuerdo a sus definiciones y buenas prácticas, servirán para el armado de un modelo a seguir por la Consultora. Además, luego de un análisis de varias herramientas en línea, las más adecuadas para el nuevo modelo fueron Jira y Confluence, que pertenecen a la empresa australiana desarrolladora de software Atlassian. 

Al finalizar, se mostrará el resultado de la evaluación de la madurez en gestión del conocimiento, el cual nos ayudará a determinar el impacto actual que tiene sobre los proyectos de TI y como la solución propuesta ayudará a la Consultora a tener su información correctamente estructurada y accesible, de manera rápida y eficiente.",2022-07-01,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Luna Pino, Marcos Augusto', 'Cotrina Peralta, Luis Emanuel']","['Maco Victoria, Jose Brando']",['Sistema de información para la recomendación de profesionales de TI mediante el análisis de su hoja de vida usando minería de texto y procesamiento de lenguaje natural'],"El servicio de outsourcing de TI tiene una gran demanda y las empresas que brindan este servicio dependen de los profesionales idóneos. El reto más difícil que afronta el personal de recursos humanos es la selección de los profesionales de TI. Por tal motivo, proponemos un método a través de la implementación de un sistema web, para automatizar la revisión de hojas de vida de los profesionales de TI, utilizando minería de texto y procesamiento de lenguaje natural. La solución propuesta demuestra que la revisión de currículos puede ser automatizada y puede entregar puntajes de correspondencia del cumplimiento de los requisitos, como lo haría un reclutador. Con ello, seríamos capaces de analizar un número ilimitado de currículums, con el fin de encontrar a los mejores profesionales.",2022-05-27,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Quispe Rabanal, Rosa Elvira', 'Quispealaya Poclin, Ronald']","['Huarcaya Junes, Alejandrina Nelly']",['Propuesta de mejora de procesos en la gestión de proyectos tecnológicos aplicando arquitectura empresarial para una empresa del sector IT'],"El presente proyecto consiste en la propuesta de mejora de los procesos de la gestión de proyectos de una empresa peruana líder en el rubro tecnológico, mediante la aplicación del marco de trabajo TOGAF y los dominios de la arquitectura empresarial. 

Para analizar e identificar la problemática de los procesos principales, que tienen impacto directo a los objetivos estratégicos de la empresa, se desarrolló una metodología de riesgos que permitió valorar los procesos, identificar vulnerabilidades existentes y el impacto sobre la calidad (costo, percepción del cliente, operación y objetivos), se obtuvo como resultado a partir de los riesgos altos como procesos a mejorar; entre ellos tenemos a los procesos de control económico y asignación de personal del área de gestión de proyectos. 

Se aplicó el modelamiento de los procesos actuales considerando la arquitectura de negocios, datos, aplicaciones y tecnología, se generó un modelo propuesto optimizando las actividades manuales, y eliminando las actividades repetitivas y puntos de control innecesarios.  

Mediante la simulación del proceso propuesto se obtiene como resultado, mejoras en los procesos de control económico y asignación de personal, viéndose reflejado en el ahorro de costos y reducción de tiempos de operación.",2022-03-06,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Cornejo Ruiz, Leonardo Paolo', 'Urbano Huaman, Rosa Milagros']","['Ugarte Rojas, Willy Gustavo']",['Solución Tecnológica para el control de una dieta saludable empleando Visual Recognition en el Sector de Nutrición en el Perú'],"El sobrepeso es uno de los grandes males que afecta a la población mundial, en especial a la peruana, y esto se debe principalmente al desconocimiento de las personas sobre las cantidades y valores nutricionales a consumir de acuerdo a su condición actual. Para ello existen diversas soluciones enfocadas a controlar una dieta saludable para las personas, entre las más conocidas se encuentran las aplicaciones móviles de control de alimentos como MyFitnessPal, Fat Secret y MyNetDiary. Estas aplicaciones son bastante útiles para monitorear la ingesta de alimentos de las personas, ya que sus bases de datos tienen mucha información nutricional de los alimentos. Sin embargo, la mayor parte de la información que tienen está enfocada a un público extranjero, que puede tener hábitos alimenticios diferentes a los peruanos.  

 

Es por eso que presentamos la aplicación “NutriCÁM”, que monitorea el consumo de comidas por parte de los usuarios y brinda la funcionalidad de reconocimiento de imagen de las comidas, para que el usuario tenga una forma más amigable de registrar y monitorear su consumo, enfocada principalmente a la gastronomía peruana.  

 

Los resultados son un modelo de reconocimiento de alimentos peruanos basado en el entrenamiento de la Red Neural Convolucional ResNet-50 pre entrenada y un dataset de 3600 imágenes de alimentos, y una aplicación móvil enfocada al control de la nutrición que provocó un 70% de mejora o mantenimiento en la condición actual de 10 usuarios..",2021-04-16,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Fache Cossi, Alana Geraldine', 'Guevara Vargas, Alejandro Manuel']","['Ramos García, Yamil']",['Gestión de atención de requerimientos de Desarrollo de software-TI'],"El presente proyecto profesional tiene como objetivo exponer y optimizar el proceso de Gestión de Atención de Requerimientos de TI de la compañía de seguros “La Positiva Vida Seguros y Reaseguros”, a través de la aplicación de nuevas técnicas que logren reestructurar el flujo de actividades que forma parte del proceso actual; con la finalidad de satisfacer las necesidades de los usuarios de la compañía. En la actualidad, la globalización y el avance tecnológico han originado que las empresas estén más orientadas a lograr una Alta Calidad en el Servicio que ofrecen a sus clientes, la misma que forma parte de su ventaja competitiva la cual deben mantener en este mercado tan cambiante. Es por eso que “La Positiva Vida Seguros y Reaseguros” no escapa de ello, siendo este uno de sus objetivos primordiales. El proyecto está comprendido por tres capítulos. El primero, expone la gestión de procesos de negocio, cuyo ámbito es el Área de Tecnología e Información. El segundo, expone la aplicación de métodos ágiles para el desarrollo de software, con el objetivo de brindar una perspectiva diferente al desarrollo de software tradicional. El tercero, expone la aplicación del modelo de calidad CMMi al proceso de negocio tratado, a fin de lograr una mejor gestión del mismo. Finalmente, se tendrá como producto final la definición del proceso de negocio mejorado que logre satisfacer, en gran medida, las necesidades de los usuarios.",2013-03-19,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
